[Information]
CSD-R7
V6.71
[InInsPatch]
IN INS PATCH,->A,A->,->B,B->,->C,C->,->D,D->,
CH 57 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 57 INS2 ,DSP HY SLOT2 75,DSP HY SLOT3 75,NONE,NONE,NONE,NONE,NONE,NONE,
CH 58 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 58 INS2 ,DSP HY SLOT2 76,DSP HY SLOT3 76,NONE,NONE,NONE,NONE,NONE,NONE,
CH 59 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 59 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 60 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 60 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 61 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 61 INS2 ,DSP HY SLOT2 35,DSP HY SLOT3 35,NONE,NONE,NONE,NONE,NONE,NONE,
CH 62 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 62 INS2 ,DSP HY SLOT2 36,DSP HY SLOT3 36,NONE,NONE,NONE,NONE,NONE,NONE,
CH 63 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 63 INS2 ,DSP HY SLOT2 37,DSP HY SLOT3 37,NONE,NONE,NONE,NONE,NONE,NONE,
CH 64 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 64 INS2 ,DSP HY SLOT2 38,DSP HY SLOT3 38,NONE,NONE,NONE,NONE,NONE,NONE,
CH 65 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 65 INS2 ,DSP HY SLOT2 73,DSP HY SLOT3 73,NONE,NONE,NONE,NONE,NONE,NONE,
CH 66 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 66 INS2 ,DSP HY SLOT2 74,DSP HY SLOT3 74,NONE,NONE,NONE,NONE,NONE,NONE,
CH 67 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 67 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 68 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 68 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 69 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 69 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 70 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 70 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 71 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 71 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 72 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 72 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 73 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 73 INS2 ,DSP HY SLOT2 67,DSP HY SLOT3 67,NONE,NONE,NONE,NONE,NONE,NONE,
CH 74 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 74 INS2 ,DSP HY SLOT2 72,DSP HY SLOT3 72,NONE,NONE,NONE,NONE,NONE,NONE,
CH 75 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 75 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 76 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 76 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 77 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 77 INS2 ,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 78 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 78 INS2 ,DSP HY SLOT2 76,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 79 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 79 INS2 ,DSP HY SLOT2 77,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 80 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 80 INS2 ,DSP HY SLOT2 78,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 81 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 81 INS2 ,DSP HY SLOT2 79,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 82 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 82 INS2 ,DSP HY SLOT2 80,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 83 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 83 INS2 ,DSP HY SLOT2 77,DSP HY SLOT3 77,NONE,NONE,NONE,NONE,NONE,NONE,
CH 84 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 84 INS2 ,DSP HY SLOT2 78,DSP HY SLOT3 78,NONE,NONE,NONE,NONE,NONE,NONE,
CH 85 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 85 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 86 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 86 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 87 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 87 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 88 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 88 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 89 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 89 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 90 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 90 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 91 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 91 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 92 INS1 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
CH 92 INS2 ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
